year,normal_minus_low_lmax,high_minus_normal_lmax
1948,4.050361671059655e-09,4.051454473991134e-09
1949,2.417160353124226e-08,2.4186650678797994e-08
1950,6.1406873301528275e-09,6.142619638632718e-09
1951,8.740961791181556e-09,8.744230468177294e-09
1952,9.544095746355508e-09,9.547763638734219e-09
1953,5.2908744087309945e-09,5.2924111863805745e-09
1954,6.796844403272884e-09,6.7990483833269e-09
1955,5.47912201026568e-09,5.480743810182265e-09
1956,3.5665169359488935e-09,3.567364566942066e-09
1957,3.975433572611653e-09,3.976462516902535e-09
1958,2.754238562913125e-09,2.754845060404243e-09
1959,2.9201536154432883e-09,2.9208109993128506e-09
1960,2.4282843930079068e-09,2.428784874608514e-09
1961,2.21954177953565e-09,2.219983554624383e-09
1962,3.1893400524729554e-09,3.1900898762871055e-09
1963,2.092376778783933e-09,2.092783762258632e-09
1964,2.188520274726269e-09,2.188949122655659e-09
1965,1.7981624800267326e-09,1.7984789352221142e-09
1966,1.3466396227290733e-09,1.3468468666733013e-09
1967,1.345673177055584e-09,1.3458809171307262e-09
1968,1.4189974022194018e-09,1.4192156026771041e-09
1969,1.6423495931283671e-09,1.6426240610767362e-09
1970,1.0089784702183024e-09,1.0091117698396435e-09
1971,9.44319327594867e-10,9.444358281540666e-10
1972,8.966525473497189e-10,8.96762584329247e-10
1973,8.846019403097038e-10,8.84708077630858e-10
1974,8.694042361034882e-10,8.695067756081531e-10
1975,7.325219909815051e-10,7.325998488405538e-10
1976,7.543576249768869e-10,7.544397641334744e-10
1977,7.062084840525618e-10,7.062844024907644e-10
1978,7.277609279099373e-10,7.278405066146743e-10
1979,6.536849846139337e-10,6.537543492668441e-10
1980,6.771096218438633e-10,6.771839616837028e-10
1981,6.579160306829923e-10,6.579879106849429e-10
1982,5.904118062505237e-10,5.904728962724537e-10
1983,5.574102221461708e-10,5.574685088549636e-10
1984,5.000996838866456e-10,5.001492969780585e-10
1985,4.707541335913223e-10,4.707992780350612e-10
1986,4.235194521473584e-10,4.2355751198042135e-10
1987,3.4159883602336016e-10,3.4162662282399836e-10
1988,3.792124600443536e-10,3.7924501039565683e-10
1989,3.546502640172644e-10,3.546802400389293e-10
1990,3.1046584400562516e-10,3.104906019790743e-10
1991,2.8139297142404374e-10,2.8141470403975077e-10
1992,2.287769869380174e-10,2.2879295680233724e-10
1993,2.302248912344762e-10,2.3024056966525208e-10
1994,1.8145538543956619e-10,1.8146611990843553e-10
1995,1.7761100923330275e-10,1.7762126491849273e-10
1996,1.8073088858816533e-10,1.8074089447317476e-10
1997,1.9476827095576965e-10,1.947788458300792e-10
1998,1.6336166447361578e-10,1.6336956093487842e-10
1999,1.7780728972516258e-10,1.778162062038291e-10
2000,1.7458054446528593e-10,1.7458887113797061e-10
2001,1.9227580638769837e-10,1.922854653280126e-10
2002,1.507767244390834e-10,1.5078351067732143e-10
2003,1.5520498081178502e-10,1.552118850112194e-10
2004,1.3853023589360802e-10,1.3853608538116902e-10
2005,1.287548817563433e-10,1.287603704214213e-10
2006,1.3475917604033327e-10,1.34764900627804e-10
2007,1.205386068736658e-10,1.2054367226621565e-10
2008,1.1624719242764314e-10,1.1625211904231492e-10
2009,1.1633956992218586e-10,1.1634440633123688e-10
2010,1.0076601358877113e-10,1.0077001733055369e-10
2011,9.787372301506281e-11,9.787765042901242e-11
2012,1.045296418866748e-10,1.0453411053434891e-10
2013,8.124338007897691e-11,8.124634992556778e-11
2014,7.165677773368628e-11,7.165931042996121e-11
2015,9.932311917371095e-11,9.93272825100533e-11
